ID;Fecha_Nacim;Edad;Educacion;Estado_Civil;Ingreso_Anual;Niños;Adolescente;Fecha_ingreso;Dias_Ulti_Comp;Gastos_Vinos;Gastos_Frutas;Gastos_Carne;Gastos_Pescados;Gastos_Dulces;Gastos_Joyas;Cant_Ofertas;Cant_Comp_Web;Cant_catalogo_comp;Cant_Com_Almacen;Num_Visitas_Web
542;1972;50;Universitario;Pareja;26290;Un hijo;1;12/1/2013;49;15;8;16;11;5;22;4;2;0;4;6
543;1967;55;Master;Soltero;59235;Un hijo;0;12/1/2013;4;448;40;469;80;0;91;3;11;2;12;7
544;1971;51;Universitario;Casado;18793;Un hijo;0;12/1/2013;14;4;16;20;0;17;20;3;2;0;4;8
545;1978;44;Universitario;Pareja;42554;Un hijo;1;12/1/2013;93;29;1;11;0;0;0;2;2;0;3;4
546;1986;36;Master;Pareja;42386;Un hijo;0;13/1/2013;43;65;4;16;0;4;11;1;3;0;3;8
547;1950;72;Universitario;Pareja;48070;Sin hijos;1;13/1/2013;33;373;14;83;6;9;19;3;8;2;6;7
548;1988;34;Universitario;Casado;68487;Sin hijos;0;13/1/2013;48;758;12;385;33;89;89;1;9;7;13;4
549;1986;36;Master;Pareja;42386;Un hijo;0;13/1/2013;43;65;4;16;0;4;11;1;3;0;3;8
550;1979;43;Universitario;Casado;17688;Un hijo;0;13/1/2013;82;2;2;1;3;1;2;1;1;0;2;8
551;1988;34;Universitario;Casado;68487;Sin hijos;0;13/1/2013;48;758;12;385;33;89;89;1;9;7;13;4
552;1950;72;Universitario;Pareja;28320;Sin hijos;1;14/1/2013;68;19;1;14;3;2;4;1;1;0;3;8
553;1945;77;Master;Pareja;62847;Sin hijos;0;15/1/2013;45;521;168;706;80;76;61;1;3;6;4;2
554;1951;71;Master;Casado;67381;Sin hijos;1;15/1/2013;67;815;8;53;11;0;70;4;2;2;9;7
555;1966;56;Primario;Pareja;22634;Sin hijos;0;16/1/2013;47;2;23;11;8;6;46;1;2;1;2;8
556;1966;56;Primario;Pareja;22634;Sin hijos;0;16/1/2013;47;2;23;11;8;6;46;1;2;1;2;8
557;1970;52;Universitario;Pareja;67419;Sin hijos;1;16/1/2013;29;846;84;352;91;56;42;4;9;4;8;5
558;1977;45;Universitario;Casado;71855;Sin hijos;1;16/1/2013;59;548;31;422;0;112;28;4;5;5;11;3
559;1959;63;Universitario;Soltero;50664;Un hijo;1;16/1/2013;64;313;8;104;6;4;126;9;8;1;6;9
560;1947;75;Universitario;Pareja;70321;Sin hijos;0;16/1/2013;6;303;23;751;82;26;191;1;6;5;13;4
561;1973;49;Secundario;Casado;32644;Un hijo;0;16/1/2013;38;239;3;141;0;7;23;4;7;1;6;8
562;1954;68;Universitario;Casado;86718;Sin hijos;0;17/1/2013;20;344;189;482;50;33;172;1;5;6;5;2
563;1956;66;Universitario;Soltero;60714;Sin hijos;0;17/1/2013;56;216;162;224;101;92;162;2;7;4;10;5
564;1971;51;Universitario;Casado;64795;Sin hijos;1;17/1/2013;23;412;5;119;38;29;77;3;3;3;12;2
565;1978;44;Primario;Pareja;17117;Un hijo;0;17/1/2013;96;12;23;38;30;18;7;4;3;1;3;9
566;1968;54;Secundario;Pareja;40706;Dos hijos;1;17/1/2013;37;59;0;11;4;2;5;4;3;0;4;7
567;1971;51;Universitario;Soltero;91700;Sin hijos;0;17/1/2013;58;576;172;961;125;115;19;1;8;6;5;3
568;1951;71;Universitario;Casado;34838;Un hijo;1;19/1/2013;62;28;23;29;29;14;47;3;2;1;4;6
569;1961;61;Secundario;Divorciado;54959;Sin hijos;1;19/1/2013;55;1148;0;60;0;0;24;3;9;5;4;7
570;1963;59;Universitario;Soltero;34377;Sin hijos;1;19/1/2013;55;62;0;22;3;1;26;2;2;2;2;7
571;1952;70;Universitario;Soltero;47958;Sin hijos;1;19/1/2013;8;268;11;88;15;3;22;2;6;3;5;5
572;1976;46;Universitario;Casado;13624;Un hijo;0;20/1/2013;93;10;2;15;2;1;6;2;2;0;3;6
573;1962;60;Master;Soltero;45183;Sin hijos;0;20/1/2013;33;219;3;60;12;9;12;1;4;1;7;7
574;1957;65;Universitario;Viudo;66033;Sin hijos;1;20/1/2013;76;293;35;179;46;59;65;2;8;3;7;7
575;1969;53;Secundario;Divorciado;58086;Sin hijos;1;20/1/2013;80;708;7;62;0;0;15;2;11;3;7;8
576;1992;30;Universitario;Pareja;63207;Sin hijos;0;20/1/2013;68;438;169;565;91;169;70;1;2;3;6;7
577;1974;48;Master;Pareja;46014;Un hijo;1;21/1/2013;21;410;0;59;19;9;44;10;7;1;8;7
578;1970;52;Universitario;Pareja;105471;Sin hijos;0;21/1/2013;36;1009;181;104;202;21;207;0;9;8;13;3
579;1950;72;Secundario;Divorciado;42873;Un hijo;1;21/1/2013;11;209;0;40;3;2;15;4;6;1;4;8
580;1977;45;Primario;Casado;31056;Un hijo;0;22/1/2013;99;5;10;13;3;8;16;1;1;0;3;8
581;1963;59;Master;Soltero;64191;Sin hijos;1;22/1/2013;30;420;15;186;151;38;15;3;5;3;13;3
582;1962;60;Universitario;Pareja;75072;Sin hijos;1;23/1/2013;83;583;34;309;0;22;125;2;5;4;8;3
583;1967;55;Primario;Pareja;67309;Un hijo;1;23/1/2013;76;515;47;181;149;95;95;15;9;6;9;7
584;1961;61;Universitario;Divorciado;27215;Dos hijos;1;23/1/2013;50;30;5;22;8;9;28;4;2;1;4;6
585;1976;46;Master;Soltero;60482;Sin hijos;1;23/1/2013;81;255;43;134;37;14;24;1;7;2;7;7
586;1963;59;Universitario;Pareja;54414;Un hijo;1;23/1/2013;49;109;18;16;24;26;18;4;3;1;5;4
587;1969;53;Master;Soltero;39858;Un hijo;0;24/1/2013;67;15;20;25;2;7;26;1;2;0;4;6
588;1963;59;Secundario;Viudo;52278;Sin hijos;1;25/1/2013;24;953;0;71;0;0;174;6;10;5;10;8
589;1959;63;Universitario;Casado;58113;Sin hijos;1;25/1/2013;66;221;104;169;102;78;84;3;9;2;8;7
590;1986;36;Primario;Pareja;20491;Sin hijos;0;25/1/2013;16;5;4;5;4;2;10;1;0;1;2;7
591;1963;59;Secundario;Viudo;52278;Sin hijos;1;25/1/2013;24;953;0;71;0;0;174;6;10;5;10;8
592;1966;56;Master;Pareja;49618;Un hijo;1;26/1/2013;77;80;3;26;4;2;14;4;3;1;3;7
593;1957;65;Primario;Divorciado;77297;Sin hijos;0;26/1/2013;84;408;61;109;48;122;41;1;5;7;9;4
594;1972;50;Secundario;Casado;70116;Sin hijos;0;26/1/2013;73;707;44;603;95;58;29;1;2;8;12;1
595;1985;37;Universitario;Casado;31158;Un hijo;0;27/1/2013;62;25;6;16;20;0;5;2;2;0;3;8
596;1981;41;Primario;Casado;34445;Sin hijos;0;27/1/2013;92;228;122;122;208;129;30;6;11;2;8;9
597;1952;70;Universitario;Pareja;75278;Sin hijos;0;29/1/2013;17;304;98;230;150;74;74;1;6;3;13;3
598;1973;49;Master;Divorciado;44051;Un hijo;1;29/1/2013;20;79;7;58;6;3;18;4;3;1;4;6
599;1987;35;Primario;Soltero;15038;Un hijo;0;29/1/2013;93;4;8;11;19;12;26;2;2;1;2;9
600;1977;45;Secundario;Casado;61996;Sin hijos;1;31/1/2013;27;1050;12;144;0;0;24;3;6;4;8;5
601;1989;33;Universitario;Casado;37155;Un hijo;0;31/1/2013;51;23;0;26;7;15;3;1;2;0;4;5
602;1943;79;Secundario;Divorciado;48948;Sin hijos;0;1/2/2013;53;437;8;206;160;49;42;2;7;10;5;6
603;1943;79;Secundario;Divorciado;48948;Sin hijos;0;1/2/2013;53;437;8;206;160;49;42;2;7;10;5;6
604;1968;54;Universitario;Divorciado;36997;Un hijo;1;1/2/2013;72;43;4;12;8;0;27;5;2;1;4;5
605;1969;53;Universitario;Casado;52413;Sin hijos;2;2/2/2013;56;295;106;271;75;98;65;4;6;4;12;6
606;1954;68;Universitario;Soltero;36130;Sin hijos;1;2/2/2013;46;157;43;127;68;56;37;6;3;8;4;4
607;1970;52;Master;Soltero;75345;Sin hijos;0;2/2/2013;16;918;57;842;99;38;133;1;5;8;6;3
608;1961;61;Universitario;Casado;49678;Sin hijos;1;2/2/2013;81;229;5;56;3;2;20;2;6;2;4;7
609;1952;70;Master;Pareja;43776;Un hijo;1;3/2/2013;9;177;2;71;3;2;20;6;5;2;4;8
610;1961;61;Universitario;Casado;36443;Un hijo;1;3/2/2013;9;65;0;46;4;3;20;4;3;1;3;8
611;1955;67;Master;Casado;52750;Sin hijos;1;4/2/2013;72;393;0;239;90;69;69;6;5;7;9;4
612;1977;45;Universitario;Casado;54233;Sin hijos;1;4/2/2013;46;652;8;158;21;0;142;4;11;6;5;8
613;1963;59;Universitario;Divorciado;33378;Un hijo;1;6/2/2013;38;33;6;40;3;7;10;3;2;0;4;7
614;1976;46;Master;Soltero;70893;Sin hijos;0;6/2/2013;42;768;44;561;77;44;14;1;6;6;10;3
615;1958;64;Universitario;Casado;81320;Sin hijos;0;6/2/2013;61;183;33;493;59;103;57;1;4;3;10;2
616;1951;71;Universitario;Viudo;70792;Sin hijos;0;6/2/2013;82;344;45;654;104;11;114;2;3;4;10;3
617;1978;44;Universitario;Casado;57113;Un hijo;1;6/2/2013;45;182;4;33;0;2;42;6;4;1;5;7
618;1961;61;Secundario;Divorciado;64325;Sin hijos;1;7/2/2013;41;731;60;353;78;12;73;5;10;3;5;7
619;1986;36;Primario;Casado;7500;Un hijo;0;7/2/2013;96;1;11;5;4;6;9;2;2;0;3;8
620;1970;52;Universitario;Pareja;19656;Un hijo;0;8/2/2013;94;25;4;9;6;8;32;3;2;1;3;7
621;1982;40;Universitario;Pareja;61416;Sin hijos;0;8/2/2013;25;848;154;323;201;61;78;1;10;3;10;6
622;1978;44;Primario;Pareja;63855;Sin hijos;0;9/2/2013;28;359;35;314;93;116;89;1;7;3;13;4
623;1973;49;Universitario;Casado;31814;Un hijo;0;9/2/2013;73;35;3;20;4;1;20;2;2;0;3;9
624;1976;46;Secundario;Casado;16927;Un hijo;1;10/2/2013;50;20;2;23;3;1;4;5;3;0;4;8
625;1972;50;Master;Casado;83151;Sin hijos;0;10/2/2013;80;968;147;842;137;42;210;1;5;7;10;2
626;1959;63;Primario;Casado;26887;Sin hijos;1;10/2/2013;27;6;7;4;3;4;6;1;1;0;3;6
627;1981;41;Primario;Casado;24480;Un hijo;0;11/2/2013;46;4;19;9;28;25;17;3;3;0;4;7
628;1978;44;Universitario;Pareja;25851;Un hijo;0;11/2/2013;45;9;4;18;7;5;5;2;2;0;3;7
629;1975;47;Master;Pareja;53253;Un hijo;1;11/2/2013;61;216;9;57;20;9;125;7;4;3;5;5
630;1982;40;Secundario;Pareja;32313;Un hijo;0;11/2/2013;60;86;4;56;2;4;7;3;4;0;4;9
631;1954;68;Universitario;Pareja;39898;Sin hijos;1;12/2/2013;20;69;8;26;12;7;12;2;3;0;4;7
632;1976;46;Secundario;Casado;49544;Un hijo;0;12/2/2013;0;308;0;73;0;0;23;2;5;1;8;7
633;1949;73;Secundario;Viudo;51569;Sin hijos;1;12/2/2013;39;380;0;47;6;0;34;4;7;1;7;8
634;1954;68;Universitario;Pareja;39898;Sin hijos;1;12/2/2013;20;69;8;26;12;7;12;2;3;0;4;7
635;1975;47;Universitario;Soltero;53201;Un hijo;1;12/2/2013;49;280;7;81;20;0;27;8;6;3;5;7
636;1986;36;Secundario;Soltero;29999;Un hijo;0;13/2/2013;22;68;7;59;10;5;11;4;3;1;4;8
637;1965;57;Universitario;Casado;72190;Sin hijos;0;13/2/2013;79;597;166;597;172;166;249;1;5;6;4;3
638;1987;35;Universitario;Pareja;22434;Un hijo;0;13/2/2013;25;4;12;11;3;13;15;2;2;0;3;8
639;1990;32;Universitario;Soltero;34412;Un hijo;0;13/2/2013;62;52;12;50;4;36;55;3;5;0;3;9
640;1953;69;Universitario;Casado;50725;Sin hijos;1;13/2/2013;45;443;10;75;0;10;48;4;8;1;8;8
641;1964;58;Universitario;Divorciado;41638;Sin hijos;1;13/2/2013;68;315;0;31;4;0;91;4;5;5;3;8
642;1955;67;Primario;Divorciado;41769;Sin hijos;1;13/2/2013;31;302;29;131;32;0;27;6;8;1;7;8
643;1967;55;Universitario;Casado;35441;Un hijo;1;14/2/2013;94;25;1;9;2;1;1;2;1;0;3;8
644;1983;39;Universitario;Casado;39922;Un hijo;0;14/2/2013;30;29;12;59;19;1;36;2;3;0;4;8
645;1970;52;Primario;Divorciado;25959;Un hijo;1;14/2/2013;1;4;2;12;7;5;26;2;1;2;2;6
646;1962;60;Master;Casado;72828;Sin hijos;1;14/2/2013;17;1205;0;235;19;14;205;6;6;3;13;7
647;1983;39;Universitario;Casado;39922;Un hijo;0;14/2/2013;30;29;12;59;19;1;36;2;3;0;4;8
648;1983;39;Universitario;Casado;39922;Un hijo;0;14/2/2013;30;29;12;59;19;1;36;2;3;0;4;8
649;1955;67;Universitario;Casado;74268;Sin hijos;0;14/2/2013;83;199;66;315;97;174;41;1;4;3;5;2
650;1954;68;Universitario;Divorciado;72071;Sin hijos;1;14/2/2013;4;531;69;300;150;138;150;3;5;4;8;2
651;1966;56;Universitario;Divorciado;55686;Sin hijos;1;14/2/2013;27;673;0;199;37;47;26;2;6;3;5;4
652;1986;36;Universitario;Soltero;39146;Un hijo;0;14/2/2013;1;94;1;33;13;12;12;3;4;0;4;8
653;1954;68;Universitario;Divorciado;72071;Sin hijos;1;14/2/2013;4;531;69;300;150;138;150;3;5;4;8;2
654;1975;47;Primario;Viudo;47682;Sin hijos;1;15/2/2013;80;162;61;83;97;57;61;4;4;3;8;5
655;1971;51;Universitario;Divorciado;44421;Un hijo;1;15/2/2013;53;110;5;59;7;1;7;5;5;0;4;8
656;1986;36;Universitario;Pareja;78394;Sin hijos;0;15/2/2013;13;298;27;697;216;24;166;1;4;6;5;2
657;1969;53;Universitario;Casado;56796;Sin hijos;1;16/2/2013;24;656;38;161;62;47;37;3;8;9;7;7
658;1949;73;Secundario;Casado;69098;Sin hijos;0;16/2/2013;82;1315;22;780;145;0;178;1;7;8;9;5
659;1990;32;Universitario;Casado;18929;Sin hijos;0;16/2/2013;15;32;0;8;23;4;18;1;1;0;4;6
660;1990;32;Universitario;Casado;18929;Sin hijos;0;16/2/2013;15;32;0;8;23;4;18;1;1;0;4;6
661;1965;57;Secundario;Casado;71322;Sin hijos;1;16/2/2013;57;753;43;226;69;10;204;2;8;5;13;4
662;1969;53;Universitario;Casado;56796;Sin hijos;1;16/2/2013;24;656;38;161;62;47;37;3;8;9;7;7
663;1990;32;Universitario;Casado;18929;Sin hijos;0;16/2/2013;15;32;0;8;23;4;18;1;1;0;4;6
664;1972;50;Universitario;Pareja;46053;Un hijo;0;17/2/2013;46;56;10;92;19;7;25;3;3;2;4;5
665;1951;71;Universitario;Casado;71107;Sin hijos;1;17/2/2013;61;533;10;217;198;174;195;2;7;6;13;4
666;1962;60;Secundario;Casado;54693;Sin hijos;1;17/2/2013;72;686;17;142;23;26;35;8;6;4;13;6
667;1952;70;Universitario;Soltero;61823;Sin hijos;1;18/2/2013;26;523;7;134;37;14;169;4;8;2;10;7
668;1965;57;Primario;Pareja;71488;Sin hijos;0;18/2/2013;87;162;33;124;40;28;172;2;3;4;7;1
669;1973;49;Universitario;Casado;51148;Un hijo;1;18/2/2013;38;235;6;45;8;9;12;4;5;1;6;6
670;1956;66;Universitario;Casado;62503;Sin hijos;1;18/2/2013;40;478;0;193;110;75;117;4;8;3;11;5
671;1954;68;Universitario;Divorciado;70044;Sin hijos;1;18/2/2013;46;1073;0;250;153;14;14;4;7;10;5;5
672;1978;44;Primario;Casado;36550;Un hijo;0;19/2/2013;74;47;90;94;123;103;120;5;9;1;5;9
673;1949;73;Universitario;Pareja;69372;Sin hijos;0;19/2/2013;10;997;26;269;34;13;42;1;10;4;6;4
674;1985;37;Universitario;Casado;55357;Dos hijos;0;19/2/2013;66;374;64;116;84;25;64;3;6;2;11;5
675;1985;37;Secundario;Casado;18169;Un hijo;0;19/2/2013;40;9;0;5;0;0;7;1;1;0;2;8
676;1951;71;Secundario;Pareja;69702;Sin hijos;1;19/2/2013;8;664;9;240;50;19;57;2;7;7;10;4
677;1986;36;Universitario;Soltero;69702;Un hijo;0;20/2/2013;19;5;1;3;3;263;362;0;27;0;0;1
678;1946;76;Master;Casado;68657;Sin hijos;0;20/2/2013;4;482;34;471;119;68;22;1;3;5;9;7
679;1975;47;Universitario;Soltero;33249;Un hijo;0;20/2/2013;11;6;10;21;19;14;42;2;2;1;3;6
680;1976;46;Universitario;Soltero;20180;Sin hijos;0;20/2/2013;27;18;42;24;15;20;18;1;2;1;4;7
681;1956;66;Master;Casado;50965;Sin hijos;1;20/2/2013;87;544;13;85;8;6;29;3;10;4;5;8
682;1975;47;Universitario;Soltero;33249;Un hijo;0;20/2/2013;11;6;10;21;19;14;42;2;2;1;3;6
683;1976;46;Universitario;Soltero;20180;Sin hijos;0;20/2/2013;27;18;42;24;15;20;18;1;2;1;4;7
684;1961;61;Universitario;Soltero;30081;Sin hijos;1;21/2/2013;27;36;0;2;0;0;4;1;1;0;3;7
685;1971;51;Universitario;Divorciado;40851;Un hijo;1;21/2/2013;63;23;1;7;0;4;24;1;1;1;2;7
686;1981;41;Universitario;Soltero;91065;Sin hijos;0;22/2/2013;33;822;114;108;179;137;114;1;7;9;9;3
687;1955;67;Universitario;Pareja;76005;Sin hijos;0;22/2/2013;72;983;20;389;240;50;40;1;3;5;13;6
688;1967;55;Secundario;Casado;77766;Sin hijos;1;22/2/2013;97;1004;59;265;115;59;27;2;11;10;11;6
689;1967;55;Secundario;Casado;77766;Sin hijos;1;22/2/2013;97;1004;59;265;115;59;27;2;11;10;11;6
690;1964;58;Secundario;Casado;45759;Un hijo;1;23/2/2013;13;42;1;18;3;0;4;2;2;0;3;7
691;1964;58;Secundario;Casado;45759;Un hijo;1;23/2/2013;13;42;1;18;3;0;4;2;2;0;3;7
692;1954;68;Universitario;Divorciado;76773;Sin hijos;0;25/2/2013;79;516;56;449;86;33;16;1;2;2;11;1
693;1970;52;Universitario;Divorciado;44267;Un hijo;1;25/2/2013;48;183;5;65;3;5;49;5;5;2;4;9
694;1983;39;Master;Soltero;89616;Sin hijos;0;25/2/2013;36;671;47;655;145;111;15;1;7;5;12;2
695;1971;51;Universitario;Casado;66303;Sin hijos;1;26/2/2013;56;1090;12;96;16;12;60;4;3;4;11;8
696;1982;40;Universitario;Casado;42081;Un hijo;0;26/2/2013;86;175;10;110;54;6;27;2;6;3;4;6
697;1983;39;Secundario;Casado;86580;Sin hijos;0;27/2/2013;72;532;21;127;26;20;20;0;4;2;5;1
698;1949;73;Universitario;Viudo;72643;Sin hijos;0;27/2/2013;60;526;80;553;123;94;53;1;3;10;7;2
699;1984;38;Universitario;Casado;24570;Un hijo;0;27/2/2013;97;28;34;62;11;14;44;3;4;0;4;9
700;1969;53;Universitario;Casado;80952;Sin hijos;0;28/2/2013;20;778;178;689;41;27;44;1;8;5;11;8
701;1972;50;Primario;Casado;14188;Sin hijos;0;28/2/2013;40;2;7;11;16;12;27;1;2;0;4;6
702;1978;44;Secundario;Soltero;54880;Un hijo;0;1/3/2013;57;308;85;137;102;45;118;2;6;2;11;5
703;1983;39;Primario;Soltero;81698;Sin hijos;0;1/3/2013;1;709;45;115;30;160;45;1;8;2;5;5
704;1983;39;Universitario;Casado;36790;Sin hijos;0;1/3/2013;14;3;3;14;15;21;10;1;2;1;2;9
705;1973;49;Universitario;Pareja;73926;Sin hijos;0;2/3/2013;54;627;91;597;159;91;15;1;6;5;12;3
706;1965;57;Universitario;Pareja;83003;Sin hijos;0;3/3/2013;18;856;61;570;40;25;122;1;7;6;8;3
707;1969;53;Secundario;Casado;56242;Sin hijos;1;3/3/2013;72;689;8;167;11;8;88;5;8;4;11;6
708;1976;46;Master;Soltero;70379;Sin hijos;1;3/3/2013;84;553;25;142;65;67;8;3;6;3;13;4
709;1949;73;Secundario;Casado;80360;Sin hijos;0;3/3/2013;56;1493;86;454;112;43;43;2;4;4;5;2
710;1971;51;Universitario;Casado;80360;Un hijo;1;3/3/2013;82;71;1;16;0;0;9;4;2;1;3;8
711;1962;60;Universitario;Soltero;57967;Sin hijos;1;3/3/2013;39;229;7;137;4;0;91;5;4;2;8;5
712;1953;69;Universitario;Pareja;94384;Sin hijos;0;4/3/2013;62;1111;24;790;160;45;172;0;5;8;5;2
713;1953;69;Secundario;Pareja;64504;Un hijo;2;4/3/2013;81;986;36;168;16;0;108;7;11;3;4;7
714;1953;69;Universitario;Pareja;94384;Sin hijos;0;4/3/2013;62;1111;24;790;160;45;172;0;5;8;5;2
715;1972;50;Universitario;Soltero;31907;Sin hijos;0;4/3/2013;75;33;87;64;175;16;74;1;6;1;6;7
716;1971;51;Master;Casado;49505;Un hijo;1;5/3/2013;4;604;0;100;19;0;28;9;10;2;8;8
717;1956;66;Master;Pareja;34941;Un hijo;1;6/3/2013;26;39;2;25;4;3;24;2;3;0;3;8
718;1953;69;Universitario;Pareja;41452;Un hijo;1;6/3/2013;86;13;0;3;0;0;0;1;1;0;2;7
719;1988;34;Primario;Divorciado;35388;Un hijo;0;7/3/2013;20;6;4;7;4;3;8;1;1;0;3;7
720;1976;46;Secundario;Divorciado;66476;Sin hijos;1;7/3/2013;99;372;18;126;47;48;78;2;5;2;11;4
721;1978;44;Universitario;Soltero;30168;Un hijo;0;7/3/2013;51;154;20;66;0;12;27;7;6;1;4;9
722;1972;50;Secundario;Casado;44325;Sin hijos;1;7/3/2013;69;516;0;21;0;0;5;4;8;2;7;8
723;1961;61;Master;Pareja;74881;Un hijo;1;8/3/2013;48;505;72;270;36;27;54;4;9;2;12;5
724;1961;61;Master;Pareja;74881;Un hijo;1;8/3/2013;48;505;72;270;36;27;54;4;9;2;12;5
725;1970;52;Universitario;Soltero;24206;Un hijo;0;8/3/2013;66;7;2;8;3;2;3;1;1;0;3;6
726;1951;71;Universitario;Casado;32871;Un hijo;1;9/3/2013;28;22;2;12;0;2;5;1;1;0;3;4
727;1958;64;Master;Soltero;61331;Un hijo;1;10/3/2013;42;534;5;47;0;5;41;5;11;1;6;8
728;1947;75;Master;Pareja;77632;Sin hijos;0;10/3/2013;73;1200;105;758;0;42;147;1;4;2;6;2
729;1979;43;Primario;Divorciado;13533;Un hijo;0;10/3/2013;45;12;3;8;8;0;17;2;2;0;3;7
730;1956;66;Secundario;Soltero;54998;Sin hijos;1;10/3/2013;3;154;22;202;39;30;8;5;4;2;9;4
731;1947;75;Secundario;Viudo;68117;Sin hijos;1;10/3/2013;80;618;44;215;0;17;36;2;11;8;4;6
732;1960;62;Universitario;Pareja;30507;Sin hijos;0;11/3/2013;29;65;36;74;38;20;110;1;5;1;4;7
733;1956;66;Universitario;Divorciado;26150;Dos hijos;1;11/3/2013;61;5;1;13;3;5;1;1;1;0;3;7
734;1951;71;Universitario;Casado;57304;Sin hijos;1;11/3/2013;61;356;80;329;138;17;106;2;7;6;10;5
735;1976;46;Master;Soltero;72309;Sin hijos;0;11/3/2013;64;960;0;883;50;38;0;1;5;6;8;3
736;1985;37;Master;Casado;20559;Un hijo;0;12/3/2013;88;13;1;29;3;0;7;2;2;0;3;8
737;1983;39;Universitario;Soltero;101970;Sin hijos;0;12/3/2013;69;722;27;102;44;72;168;0;6;8;13;2
738;1965;57;Universitario;Pareja;29672;Un hijo;1;12/3/2013;6;9;1;3;0;4;8;1;0;0;3;6
739;1969;53;Universitario;Pareja;74918;Sin hijos;0;12/3/2013;78;972;59;913;25;19;59;1;5;9;6;3
740;1965;57;Universitario;Pareja;29672;Un hijo;1;12/3/2013;6;9;1;3;0;4;8;1;0;0;3;6
741;1966;56;Master;Casado;38179;Un hijo;1;14/3/2013;30;38;4;22;4;2;20;4;3;1;3;7
742;1970;52;Universitario;Divorciado;33986;Un hijo;0;14/3/2013;43;16;2;18;2;1;5;1;1;0;3;7
743;1979;43;Master;Casado;40662;Un hijo;0;15/3/2013;0;40;2;23;0;4;23;2;2;1;3;4
744;1959;63;Universitario;Pareja;44911;Sin hijos;1;15/3/2013;11;159;0;22;2;1;31;3;4;1;4;7
745;1976;46;Universitario;Divorciado;31615;Un hijo;0;16/3/2013;82;2;3;20;6;11;9;2;2;0;3;7
746;1984;38;Universitario;Soltero;11012;Un hijo;0;16/3/2013;82;24;3;26;7;1;23;3;3;1;2;9
747;1959;63;Universitario;Casado;65031;Sin hijos;1;17/3/2013;29;258;107;291;84;37;86;4;10;3;13;7
748;1967;55;Secundario;Pareja;62981;Sin hijos;0;17/3/2013;21;796;14;590;38;44;0;1;4;5;13;3
749;1962;60;Universitario;Soltero;69627;Sin hijos;1;17/3/2013;35;231;161;215;171;30;53;2;8;2;11;5
750;1963;59;Secundario;Divorciado;41003;Sin hijos;0;17/3/2013;11;123;133;142;71;44;88;1;6;2;8;6
751;1979;43;Primario;Soltero;16014;Un hijo;1;17/3/2013;42;3;9;4;7;8;7;4;1;1;4;3
752;1951;71;Universitario;Pareja;40689;Sin hijos;1;18/3/2013;69;270;3;27;39;6;99;7;7;1;5;8
753;1970;52;Universitario;Soltero;22585;Sin hijos;0;18/3/2013;23;3;9;15;13;2;39;1;1;1;2;9
754;1951;71;Universitario;Pareja;40689;Sin hijos;1;18/3/2013;69;270;3;27;39;6;99;7;7;1;5;8
755;1978;44;Universitario;Viudo;54162;Un hijo;1;18/3/2013;31;5;6;10;6;5;10;1;1;0;3;4
756;1989;33;Primario;Casado;17487;Un hijo;0;18/3/2013;37;0;0;1;7;4;6;1;1;0;2;7
757;1988;34;Universitario;Pareja;41883;Un hijo;0;19/3/2013;13;32;34;41;73;16;116;3;4;2;3;7
758;1976;46;Universitario;Casado;74068;Sin hijos;0;19/3/2013;14;783;30;537;140;76;15;1;4;10;9;2
759;1966;56;Master;Casado;57183;Un hijo;1;19/3/2013;51;464;5;64;7;0;70;8;9;1;7;8
760;1959;63;Universitario;Casado;35701;Sin hijos;0;19/3/2013;36;21;1;9;7;3;5;1;1;0;3;6
761;1965;57;Universitario;Soltero;23478;Sin hijos;0;19/3/2013;51;28;6;27;12;17;39;1;3;0;3;8
762;1966;56;Universitario;Soltero;37070;Un hijo;1;20/3/2013;30;231;7;137;4;15;39;9;5;1;8;7
763;1982;40;Primario;Soltero;24367;Un hijo;0;20/3/2013;58;2;4;2;0;11;5;1;1;0;2;9
764;1966;56;Universitario;Soltero;37070;Un hijo;1;20/3/2013;30;231;7;137;4;15;39;9;5;1;8;7
765;1983;39;Universitario;Pareja;28427;Un hijo;0;21/3/2013;67;18;3;19;3;3;6;2;2;0;3;8
766;1983;39;Universitario;Pareja;28427;Un hijo;0;21/3/2013;67;18;3;19;3;3;6;2;2;0;3;8
767;1972;50;Universitario;Casado;59666;Un hijo;1;22/3/2013;87;623;53;178;23;17;133;7;3;2;8;8
768;1957;65;Universitario;Casado;47743;Sin hijos;1;22/3/2013;56;198;2;43;0;12;20;3;4;1;6;6
769;1952;70;Master;Soltero;8820;Un hijo;1;22/3/2013;52;12;0;13;4;2;4;4;3;0;3;8
770;1965;57;Secundario;Casado;62745;Sin hijos;1;23/3/2013;89;562;21;464;28;10;32;3;7;8;11;5
771;1956;66;Primario;Divorciado;31395;Un hijo;1;23/3/2013;80;23;1;25;0;8;7;4;2;1;3;6
772;1953;69;Secundario;Soltero;64108;Sin hijos;1;23/3/2013;8;948;10;86;13;21;21;4;6;9;11;5
773;1969;53;Universitario;Pareja;58917;Un hijo;2;24/3/2013;10;151;7;89;0;7;28;5;4;1;6;5
774;1960;62;Universitario;Pareja;19740;Sin hijos;1;24/3/2013;65;7;11;3;10;4;20;2;1;1;3;5
775;1979;43;Universitario;Casado;63777;Un hijo;1;24/3/2013;87;457;5;106;15;17;53;8;11;1;6;8
